periodo,codice_pv,luce_gas,fibra,fotovoltaico,wallbox,clima,storni_luce_gas,storni_fibra
2026-06,SE-MI-001,24,7,1,1,2,0,0
2026-06,SE-RM-001,22,6,0,1,2,0,0
2026-06,SE-TO-001,20,7,1,0,1,0,0
2026-06,SE-NA-001,20,6,1,1,2,1,0
2026-06,SE-BO-001,18,4,1,0,2,0,0
2026-06,SE-FI-001,23,7,1,0,2,0,0
2026-06,SE-PA-001,18,5,1,0,2,0,0
2026-06,SE-MI-002,14,3,0,0,1,0,0
2026-06,SE-RM-002,13,4,0,0,1,0,0
2026-06,SE-RM-003,380,4,0,0,1,0,0
2026-06,SE-VR-001,16,4,0,0,1,0,0
2026-06,SE-BA-001,14,3,0,0,2,0,0
2026-06,SE-CT-001,15,4,0,0,1,0,0
2026-06,SE-GE-001,11,3,0,0,1,0,0
2026-06,SE-PD-001,14,4,0,0,1,0,0
2026-06,SE-BS-001,13,3,0,0,1,0,0
2026-06,SE-AN-001,5,2,0,0,0,0,0
2026-06,SE-PG-001,9,2,0,0,1,0,0
2026-06,SE-CA-001,9,2,0,0,1,0,0
2026-06,SE-TS-001,5,2,0,0,1,0,0
2026-06,SE-RE-001,8,2,0,0,1,0,0
2026-06,SE-LE-001,6,2,0,0,1,0,0
2026-06,SE-PE-001,6,1,0,0,1,0,0
2026-06,SE-VI-001,5,2,0,0,1,0,0
2026-06,SE-SA-001,6,2,0,0,1,0,0
